hit_frame,frame,player_id,stroke_type,kp_left_shoulder_x,kp_left_shoulder_y,kp_right_shoulder_x,kp_right_shoulder_y,kp_left_elbow_x,kp_left_elbow_y,kp_right_elbow_x,kp_right_elbow_y,kp_left_wrist_x,kp_left_wrist_y,kp_right_wrist_x,kp_right_wrist_y,kp_left_hip_x,kp_left_hip_y,kp_right_hip_x,kp_right_hip_y,kp_left_knee_x,kp_left_knee_y,kp_right_knee_x,kp_right_knee_y,kp_left_ankle_x,kp_left_ankle_y,kp_right_ankle_x,kp_right_ankle_y
251,236.0,2,backhand,535.4265747070312,427.3172302246094,502.5025939941406,424.2989196777344,536.87548828125,449.39837646484375,496.79046630859375,434.9012451171875,505.2121887207031,448.530029296875,492.1552734375,414.0397644042969,563.03857421875,484.7956237792969,538.2763061523438,481.5638122558594,562.4830932617188,542.2521362304688,520.0906372070312,527.1194458007812,573.5267944335938,599.474609375,536.7196655273438,573.2325439453125
251,237.0,2,backhand,533.8219604492188,424.959716796875,502.5743103027344,420.9029235839844,532.3849487304688,449.9576721191406,498.0920104980469,429.5196533203125,497.0231018066406,453.2987060546875,489.6603393554688,403.5799255371094,561.8963623046875,483.7657470703125,537.76220703125,480.5245361328125,561.448486328125,541.51806640625,519.9420776367188,527.4531860351562,574.33935546875,597.983642578125,536.1728515625,573.1678466796875
251,238.0,2,backhand,534.4835205078125,427.2874755859375,508.7829284667969,421.4098510742188,525.4537353515625,453.50732421875,507.5489196777344,429.6478271484375,494.920166015625,451.69342041015625,497.420654296875,411.8571166992188,561.816650390625,484.3829956054688,540.7651977539062,480.4626159667969,559.3148803710938,541.1315307617188,519.27978515625,527.1296997070312,574.333740234375,595.772705078125,536.4034423828125,573.7276611328125
251,239.0,2,backhand,532.6761474609375,433.49945068359375,512.120849609375,425.4928283691406,514.0040893554688,456.63671875,511.440185546875,425.8768615722656,483.2442932128906,458.3738098144531,502.5576171875,414.7568359375,560.9150390625,485.5581970214844,542.715087890625,480.9615783691406,553.2268676757812,540.22607421875,517.76611328125,526.5682983398438,572.1244506835938,593.7266845703125,535.4520263671875,573.10546875
251,240.0,2,backhand,521.9149780273438,431.0492248535156,506.5415344238281,422.6238098144531,510.0695190429688,457.3475646972656,504.4808654785156,436.8805847167969,477.5580749511719,454.8861083984375,496.34759521484375,437.99603271484375,559.2511596679688,483.733154296875,545.12939453125,479.2398376464844,548.25439453125,537.3758544921875,517.409912109375,526.70849609375,570.2667846679688,589.2852783203125,536.8125,573.1286010742188
251,241.0,2,backhand,522.920654296875,428.0692443847656,508.6993103027344,421.6457824707031,512.0382690429688,457.390380859375,511.2734680175781,440.47357177734375,476.9293823242188,452.9447326660156,506.6560974121094,442.43109130859375,558.2579345703125,480.8175048828125,545.8863525390625,477.5157470703125,539.9674682617188,532.274658203125,519.3552856445312,527.828369140625,561.1088256835938,581.1857299804688,541.2139892578125,575.5448608398438
251,242.0,2,backhand,520.9706420898438,432.46295166015625,507.7164611816406,423.2018432617188,510.3053283691406,462.0184020996094,511.13909912109375,435.0787658691406,476.8894348144531,456.6238403320313,509.3171691894531,436.8507080078125,557.9224853515625,482.33013916015625,546.365966796875,478.5542907714844,532.617919921875,529.7420654296875,518.9817504882812,526.5065307617188,553.8441772460938,575.3063354492188,536.4827880859375,571.3795166015625
251,243.0,2,backhand,516.9368286132812,436.4318237304688,509.4864807128906,427.3304443359375,507.907958984375,463.25341796875,514.9136962890625,439.329833984375,477.99951171875,455.1236877441406,510.4768371582031,439.4151916503906,558.4223022460938,483.4206848144531,551.151123046875,479.34185791015625,527.6012573242188,529.1513061523438,519.580810546875,524.8316040039062,544.9786987304688,574.15478515625,536.9471435546875,567.3948364257812
251,244.0,2,backhand,517.0559692382812,439.2061767578125,513.997314453125,429.2503356933594,506.2102661132813,464.4353332519531,517.98291015625,443.187744140625,485.595458984375,454.8172302246094,509.0168151855469,448.6639404296875,559.4000854492188,487.445068359375,554.876953125,482.2994995117188,529.654541015625,533.7553100585938,520.4366455078125,524.534423828125,550.5358276367188,581.4679565429688,537.3963012695312,567.6256103515625
251,245.0,2,backhand,519.0870971679688,439.3302917480469,516.146240234375,433.8673095703125,507.28717041015625,464.8731689453125,512.9892578125,452.2522583007813,487.337158203125,454.93505859375,499.59478759765625,454.2698974609375,561.6504516601562,489.54193115234375,557.9688110351562,486.3180541992188,525.6050415039062,534.126220703125,518.874755859375,526.74951171875,551.7289428710938,582.9270629882812,538.3035888671875,570.8629150390625
