frame,timestamp,player_1_x_pixel,player_1_y_pixel,player_1_x_meter,player_1_y_meter,player_1_kp_left_shoulder_x,player_1_kp_left_shoulder_y,player_1_kp_right_shoulder_x,player_1_kp_right_shoulder_y,player_1_kp_left_elbow_x,player_1_kp_left_elbow_y,player_1_kp_right_elbow_x,player_1_kp_right_elbow_y,player_1_kp_left_wrist_x,player_1_kp_left_wrist_y,player_1_kp_right_wrist_x,player_1_kp_right_wrist_y,player_1_kp_left_hip_x,player_1_kp_left_hip_y,player_1_kp_right_hip_x,player_1_kp_right_hip_y,player_1_kp_left_knee_x,player_1_kp_left_knee_y,player_1_kp_right_knee_x,player_1_kp_right_knee_y,player_1_kp_left_ankle_x,player_1_kp_left_ankle_y,player_1_kp_right_ankle_x,player_1_kp_right_ankle_y,player_2_x_pixel,player_2_y_pixel,player_2_x_meter,player_2_y_meter,player_2_kp_left_shoulder_x,player_2_kp_left_shoulder_y,player_2_kp_right_shoulder_x,player_2_kp_right_shoulder_y,player_2_kp_left_elbow_x,player_2_kp_left_elbow_y,player_2_kp_right_elbow_x,player_2_kp_right_elbow_y,player_2_kp_left_wrist_x,player_2_kp_left_wrist_y,player_2_kp_right_wrist_x,player_2_kp_right_wrist_y,player_2_kp_left_hip_x,player_2_kp_left_hip_y,player_2_kp_right_hip_x,player_2_kp_right_hip_y,player_2_kp_left_knee_x,player_2_kp_left_knee_y,player_2_kp_right_knee_x,player_2_kp_right_knee_y,player_2_kp_left_ankle_x,player_2_kp_left_ankle_y,player_2_kp_right_ankle_x,player_2_kp_right_ankle_y,ball_x,ball_y,is_wall_hit,is_racket_hit,racket_hit_player_id,wall_hit_x_pixel,wall_hit_y_pixel,wall_hit_x_meter,wall_hit_y_meter,is_rally_frame,rally_id,stroke_type,shot_type,shot_direction,shot_depth
0,0.0,515.074211778708,551.0134175523053,2.1823922344990705,7.455603879020122,496.51104736328125,333.99993896484375,545.7950439453125,344.8795166015625,473.110595703125,364.9935607910156,556.631591796875,388.3892517089844,466.3844909667969,398.0398864746094,564.0946655273438,418.5340270996094,494.3974609375,413.56298828125,527.8353271484375,417.639892578125,482.3975830078125,471.17950439453125,524.1886596679688,473.0968322753906,482.85845947265625,529.2598266601562,525.9776000976562,528.72509765625,853.9367593114667,476.7292331372582,5.072906750770997,6.01712175442538,866.009521484375,327.2308044433594,883.8220825195312,332.0564880371094,857.27294921875,349.3494873046875,885.5565795898438,359.04571533203125,861.3568115234375,363.0406494140625,884.76611328125,370.5363464355469,860.6845092773438,373.30816650390625,874.3865966796875,376.1041259765625,853.6259765625,410.1796875,873.2991943359375,418.75439453125,831.4473876953125,446.4452819824219,867.5313110351562,462.6014709472656,511.0,301.0,False,False,-1,,,,,True,0,,,,
1,0.016666666666666666,514.9822707541246,551.407140040988,2.182556703434264,7.4619978181486735,495.7674255371094,334.5244140625,545.2988891601562,345.4701232910156,473.1673583984375,364.43780517578125,556.9141235351562,389.1792907714844,464.7303466796875,398.7140808105469,564.1396484375,417.4691162109375,492.8642272949219,414.9048767089844,526.3046264648438,418.439208984375,483.85809326171875,474.3110656738281,523.9398193359375,474.284423828125,484.2044677734375,530.9243774414062,527.0633544921875,527.4285888671875,853.5000018670244,476.7153749847513,5.0689856814833965,6.016806133548895,866.0107421875,326.86297607421875,883.3153076171875,331.8711853027344,858.1981811523438,348.9229431152344,884.5531005859375,358.7217102050781,862.9934692382812,361.91778564453125,884.0858764648438,369.1415710449219,859.6779174804688,372.9169006347656,873.318359375,375.8738098144531,852.7449340820312,409.6213073730469,873.3309326171875,418.6072082519531,828.8447265625,444.9933776855469,867.6328125,462.17205810546875,511.0,301.0,False,False,-1,,,,,True,0,,,,
2,0.03333333333333333,514.8076886572017,552.111760280534,2.18277470680057,7.4734278015049895,496.63409423828125,335.62225341796875,544.8408813476562,344.6229553222656,471.2908935546875,367.6947937011719,557.2713012695312,388.791259765625,465.60479736328125,399.1297607421875,564.529052734375,416.5867004394531,492.51519775390625,416.08099365234375,524.47314453125,418.72186279296875,483.5304260253906,474.3152770996094,523.9866333007812,474.1854553222656,483.23626708984375,528.6636962890625,525.7821655273438,526.7598876953125,852.7230517804655,476.70957374636885,5.061925051067477,6.016677511137403,865.2484130859375,327.03033447265625,882.42626953125,332.4236145019531,859.888427734375,347.5308532714844,883.99267578125,358.15594482421875,866.6492919921875,357.6132507324219,884.0081787109375,365.57049560546875,858.8948974609375,373.2751770019531,872.7423095703125,376.52197265625,851.4176025390625,409.4803771972656,873.5963134765625,419.1566162109375,827.69580078125,443.5223693847656,868.2350463867188,461.9967346191406,511.0,301.0,False,False,-1,,,,,True,0,,,,
3,0.05,514.5548085204488,552.989954298305,2.182778165168683,7.487649516175467,495.7336120605469,335.61785888671875,545.2201538085938,345.5047912597656,472.5596923828125,365.74224853515625,556.9421997070312,388.3344421386719,464.0678405761719,399.8432312011719,564.9915771484375,416.0357971191406,492.3365478515625,415.9492492675781,525.7385864257812,418.9238586425781,483.51605224609375,475.690185546875,523.8936767578125,474.3335266113281,482.58563232421875,532.7733154296875,526.7399291992188,527.520263671875,851.7449368658014,476.7403471606835,5.052864799457405,6.017389559564998,865.5538940429688,326.57501220703125,883.0862426757812,332.267822265625,859.7052612304688,346.9972839355469,883.9745483398438,358.0450439453125,866.6323852539062,357.7554931640625,883.1773071289062,365.57000732421875,858.431396484375,372.7533874511719,872.701904296875,376.1800537109375,850.3637084960938,409.0456237792969,873.7666015625,419.2523498535156,825.452392578125,443.1092529296875,868.4698486328125,462.4547424316406,511.0,301.0,False,False,-1,,,,,True,0,,,,
4,0.06666666666666667,514.2146564612622,553.8889391241528,2.182164193895341,7.502178990683524,495.7081298828125,336.02471923828125,544.978515625,345.5248718261719,472.691162109375,366.3357238769531,556.5708618164062,387.8857421875,463.71649169921875,400.335205078125,564.6670532226562,414.9759216308594,492.7245788574219,416.104248046875,525.9930419921875,418.8528137207031,483.2987060546875,476.0492248535156,523.6347045898438,474.14678955078125,482.6902160644531,533.4657592773438,526.7861938476562,527.212158203125,850.674389075667,476.82703072551425,5.042711854883505,6.019384634686431,865.5913696289062,326.4414978027344,883.2293701171875,332.2304382324219,859.5985717773438,346.767822265625,883.7496948242188,357.81915283203125,866.2743530273438,357.74737548828125,882.647705078125,365.415283203125,857.7235107421875,372.657470703125,872.181396484375,376.16864013671875,849.2864379882812,408.682861328125,873.9923706054688,419.2076721191406,824.1683959960938,442.6624755859375,868.5558471679688,462.6174011230469,511.0,301.0,False,False,-1,,,,,True,0,,,,
5,0.08333333333333333,513.7737057187875,554.6807004942224,2.180550345783841,7.5149483058097974,495.5254211425781,336.3274230957031,544.8165283203125,345.6636657714844,472.4039611816406,366.70928955078125,556.423828125,388.0018310546875,463.2060241699219,400.8860168457031,564.5470581054688,414.62591552734375,492.7372131347656,415.99298095703125,526.0087890625,418.54559326171875,483.07611083984375,476.518310546875,523.3355712890625,473.791259765625,482.75946044921875,534.517333984375,526.83203125,526.7435302734375,849.5549358130172,476.9749298336133,5.0318431927916105,6.0227824390685925,864.7453002929688,327.16961669921875,882.5455322265625,332.66986083984375,858.9978637695312,347.6310729980469,883.382080078125,358.284912109375,865.5289306640625,359.9864196777344,882.5709838867188,368.0076904296875,856.6942749023438,373.287109375,871.4096069335938,376.62518310546875,847.5780029296875,409.6297302246094,874.23388671875,419.5579833984375,822.5513916015625,443.27117919921875,868.7964477539062,462.45294189453125,511.0,301.0,False,False,-1,,,,,True,0,,,,
6,0.1,513.2294832745897,555.3047910563407,2.17778730350751,7.524988702623871,495.3123474121094,336.1765441894531,544.5361328125,345.77728271484375,472.7566223144531,366.65484619140625,556.31884765625,388.11383056640625,462.8788757324219,401.1473693847656,564.2179565429688,414.3683776855469,492.73016357421875,415.5033874511719,525.9932861328125,418.2112731933594,482.9457702636719,475.7945556640625,523.3250122070312,473.54473876953125,482.7822570800781,534.2349853515625,527.024169921875,526.93115234375,848.3993007289268,477.18086443760603,5.02039342270423,6.027506967729014,863.5014038085938,326.2580261230469,882.4120483398438,332.2781982421875,858.2760620117188,346.42041015625,883.86083984375,357.2602844238281,866.726806640625,361.5234069824219,882.7859497070312,366.35357666015625,853.5625610351562,372.72637939453125,868.6827392578125,376.1059265136719,845.2838134765625,409.5792541503906,873.43505859375,419.74127197265625,822.9475708007812,443.490966796875,867.0784912109375,460.65948486328125,511.0,301.0,False,False,-1,,,,,True,0,,,,
7,0.11666666666666667,512.5989676181691,555.798588741915,2.174088923253613,7.532904370089862,494.8439636230469,336.3334655761719,544.2059936523438,345.7481689453125,472.911865234375,366.74737548828125,556.3846435546875,387.80511474609375,462.2195739746094,401.4263610839844,563.9351806640625,413.5,492.3007507324219,415.5426025390625,525.62158203125,418.061279296875,482.7527160644531,476.1073303222656,523.0858764648438,473.26507568359375,483.33148193359375,535.0247192382812,527.0110473632812,526.6519165039062,847.2530203019553,477.4415918650187,5.008795995603009,6.033479569793647,862.847412109375,326.1332702636719,882.0634155273438,331.9015197753906,857.7188110351562,345.9706726074219,883.5972900390625,356.9107360839844,866.4907836914062,362.82244873046875,882.0960693359375,367.92315673828125,852.5780639648438,372.12451171875,868.0941162109375,375.24578857421875,843.2963256835938,410.4021301269531,873.337158203125,419.4597473144531,819.734130859375,445.014892578125,866.2820434570312,460.3609619140625,511.0,301.0,False,False,-1,,,,,True,0,,,,
8,0.13333333333333333,511.9146633747381,556.2802172945245,2.169964601815668,7.540588376432726,494.97369384765625,335.92401123046875,544.1145629882812,345.2109680175781,472.5795593261719,367.1634521484375,557.015625,387.2127990722656,462.4466247558594,401.3475341796875,564.0870361328125,413.6539611816406,492.74737548828125,415.62017822265625,526.1478271484375,418.45062255859375,479.626708984375,474.7831726074219,523.7221069335938,472.8838195800781,479.77362060546875,535.1858520507812,525.8030395507812,528.39599609375,846.209327897534,477.7558122978527,4.99790881940207,6.0406658204716575,861.8946533203125,327.93939208984375,881.0848999023438,333.4155578613281,857.2666625976562,347.8466491699219,882.7203369140625,356.5274963378906,866.3703002929688,362.4870910644531,880.84912109375,366.3092956542969,851.5802001953125,370.8870544433594,867.2984008789062,374.1694641113281,841.0416259765625,410.6398620605469,874.150634765625,419.8818359375,816.758544921875,443.89208984375,865.52783203125,459.4219055175781,511.0,301.0,False,False,-1,,,,,True,0,,,,
9,0.15,511.2082219914901,556.8764005942691,2.165936158949322,7.550063788629451,494.3843994140625,336.5392761230469,543.4183349609375,345.75238037109375,472.1201171875,367.4783630371094,556.8865356445312,387.44879150390625,461.763671875,401.74920654296875,563.8983154296875,413.56109619140625,492.2995910644531,416.1415100097656,525.5740356445312,418.8783264160156,479.18548583984375,475.44580078125,523.4255981445312,473.0989990234375,480.0351257324219,535.8314208984375,525.8268432617188,528.172119140625,845.360194615213,478.1156802655827,4.9886044914261625,6.048882991530734,860.9207153320312,328.2062683105469,880.1295776367188,333.33660888671875,858.5634765625,346.0259704589844,884.124267578125,353.31097412109375,869.9442749023438,354.8190002441406,884.2765502929688,353.1488342285156,851.4140625,371.18414306640625,867.2261962890625,374.30340576171875,839.4049682617188,411.12823486328125,874.2703857421875,419.77215576171875,814.3082275390625,445.3541259765625,865.6163940429688,459.6451416015625,511.0,301.0,False,False,-1,,,,,True,0,,,,
