frame,timestamp,player_1_x_pixel,player_1_y_pixel,player_1_x_meter,player_1_y_meter,player_1_kp_left_shoulder_x,player_1_kp_left_shoulder_y,player_1_kp_right_shoulder_x,player_1_kp_right_shoulder_y,player_1_kp_left_elbow_x,player_1_kp_left_elbow_y,player_1_kp_right_elbow_x,player_1_kp_right_elbow_y,player_1_kp_left_wrist_x,player_1_kp_left_wrist_y,player_1_kp_right_wrist_x,player_1_kp_right_wrist_y,player_1_kp_left_hip_x,player_1_kp_left_hip_y,player_1_kp_right_hip_x,player_1_kp_right_hip_y,player_1_kp_left_knee_x,player_1_kp_left_knee_y,player_1_kp_right_knee_x,player_1_kp_right_knee_y,player_1_kp_left_ankle_x,player_1_kp_left_ankle_y,player_1_kp_right_ankle_x,player_1_kp_right_ankle_y,player_2_x_pixel,player_2_y_pixel,player_2_x_meter,player_2_y_meter,player_2_kp_left_shoulder_x,player_2_kp_left_shoulder_y,player_2_kp_right_shoulder_x,player_2_kp_right_shoulder_y,player_2_kp_left_elbow_x,player_2_kp_left_elbow_y,player_2_kp_right_elbow_x,player_2_kp_right_elbow_y,player_2_kp_left_wrist_x,player_2_kp_left_wrist_y,player_2_kp_right_wrist_x,player_2_kp_right_wrist_y,player_2_kp_left_hip_x,player_2_kp_left_hip_y,player_2_kp_right_hip_x,player_2_kp_right_hip_y,player_2_kp_left_knee_x,player_2_kp_left_knee_y,player_2_kp_right_knee_x,player_2_kp_right_knee_y,player_2_kp_left_ankle_x,player_2_kp_left_ankle_y,player_2_kp_right_ankle_x,player_2_kp_right_ankle_y,ball_x,ball_y,is_wall_hit,is_racket_hit,racket_hit_player_id,wall_hit_x_pixel,wall_hit_y_pixel,wall_hit_x_meter,wall_hit_y_meter,is_rally_frame,rally_id,stroke_type,shot_type,shot_direction,shot_depth
0,0.0,524.6912609419552,584.2617299867691,2.154003134152417,7.457357637092242,510.17822265625,385.16204833984375,550.7369384765625,393.09039306640625,492.3179016113281,412.32061767578125,561.4223022460938,431.3905944824219,490.273193359375,432.18505859375,564.5180053710938,452.9195556640625,514.2376708984375,457.4692077636719,541.7042846679688,460.6689453125,506.73516845703125,509.802734375,542.4654541015625,509.89483642578125,504.0450134277344,564.7979736328125,541.9967651367188,559.9053955078125,843.3644615312096,524.9687057161541,4.837181992211038,6.27154439022845,853.8463134765625,370.12628173828125,822.39501953125,366.6502990722656,847.16796875,406.6404113769531,821.040283203125,391.30712890625,823.67919921875,422.4823913574219,820.8418579101562,390.9656982421875,864.0648803710938,421.0405578613281,839.58203125,419.5097351074219,870.7969970703125,462.8397216796875,825.5892944335938,457.7787170410156,881.8704223632812,504.701904296875,836.4144287109375,496.63525390625,779.0,408.0,False,False,-1,,,,,True,0,,,,
1,0.016666666666666666,524.4519812829851,584.2924976772106,2.152189126678491,7.457899974573976,509.8973083496094,385.00848388671875,550.3887939453125,393.14544677734375,491.9017333984375,412.01690673828125,560.8441162109375,431.1669616699219,489.2992858886719,432.6147155761719,563.4830932617188,451.92181396484375,513.9779052734375,457.728271484375,541.42431640625,461.011474609375,506.23724365234375,509.76593017578125,542.455810546875,509.95306396484375,503.9556884765625,564.8089599609375,541.8706665039062,559.84814453125,842.3333572372696,524.9610087076705,4.828156147367465,6.2713022285662285,850.8826904296875,370.55743408203125,819.6843872070312,366.8638916015625,843.8930053710938,405.8713684082031,819.927001953125,391.9047546386719,817.9449462890625,419.2870178222656,818.0443725585938,394.99359130859375,862.861083984375,421.6517333984375,838.2163696289062,419.9577331542969,870.4417114257812,463.15753173828125,824.4188842773438,457.92694091796875,882.0319213867188,504.3111572265625,834.0924072265625,496.0364990234375,779.0,408.0,False,False,-1,,,,,True,0,,,,
2,0.03333333333333333,524.001083407703,584.3365031408338,2.1487484918182855,7.458668318746394,510.98828125,386.0013427734375,550.5064086914062,394.70904541015625,493.1270751953125,411.2359619140625,559.8424072265625,434.2665710449219,487.67913818359375,431.7373046875,560.70751953125,453.31768798828125,514.0731811523438,458.1390686035156,541.3849487304688,460.9383850097656,506.205078125,511.3121337890625,541.35009765625,509.77581787109375,505.5268249511719,565.9234008789062,542.3369140625,559.9254150390625,840.5318086664751,524.9485805831362,4.812382537511455,6.270902213412135,848.8140869140625,371.80889892578125,818.0353393554688,369.26068115234375,841.2139282226562,404.7193603515625,817.7811889648438,396.41778564453125,815.10986328125,418.50323486328125,809.6199340820312,408.23291015625,861.28466796875,422.5548095703125,836.8079833984375,421.1465759277344,869.30615234375,463.16607666015625,822.1915893554688,458.3982238769531,881.9658813476562,504.11444091796875,831.559326171875,496.55865478515625,779.0,408.0,False,False,-1,,,,,True,0,,,,
3,0.05,523.3757385419299,584.3709013010944,2.1439340009332937,7.45925044155127,511.0419921875,385.8651123046875,550.5462036132812,394.7845153808594,493.1659240722656,410.87884521484375,559.7035522460938,434.39569091796875,487.1305847167969,431.9150695800781,560.6596069335938,453.3035583496094,514.0177612304688,458.06463623046875,541.3359985351562,460.8968505859375,505.9014587402344,511.2432861328125,541.1276245117188,509.619384765625,505.3939208984375,566.0066528320312,542.3286743164062,559.770751953125,838.3453093125977,524.938149630043,4.7932223338238025,6.270522583997094,846.900634765625,373.1115417480469,816.7059936523438,369.8975830078125,838.1494140625,404.5581359863281,817.2571411132812,393.5985412597656,811.874267578125,418.8016357421875,809.2578735351562,404.4012756347656,860.8679809570312,422.4522705078125,836.3660888671875,420.8279113769531,868.4279174804688,463.1582946777344,820.5576782226562,458.66827392578125,882.0358276367188,504.2774658203125,827.4364013671875,497.44525146484375,779.0,408.0,False,False,-1,,,,,True,0,,,,
4,0.06666666666666667,522.6098027290212,584.3783327180466,2.137980904252367,7.459333342823529,511.0762023925781,385.74786376953125,550.3884887695312,394.48583984375,492.9123840332031,411.0995178222656,558.7947998046875,434.0623779296875,486.7597351074219,432.73779296875,558.4481811523438,453.380126953125,514.1005859375,457.87884521484375,541.3468017578125,460.6466979980469,505.9361267089844,511.0186767578125,541.0810546875,509.4476318359375,505.34320068359375,565.976806640625,542.401123046875,559.8048706054688,836.1133976059298,524.9398437672244,4.773621586419033,6.270416468782838,844.8005981445312,374.6669921875,815.65283203125,370.0130615234375,833.1658935546875,406.34979248046875,813.5390625,393.09173583984375,804.4652709960938,418.28515625,806.2188110351562,403.06622314453125,858.3427124023438,422.6029052734375,834.2188720703125,420.46875,866.947265625,462.55462646484375,819.3653564453125,457.8999938964844,881.820068359375,503.357666015625,823.4459838867188,496.59210205078125,779.0,408.0,False,False,-1,,,,,True,0,,,,
5,0.08333333333333333,521.7375221779314,584.3478488438293,2.1311371480600974,7.45872030844302,511.11322021484375,385.51220703125,550.4378662109375,394.2851257324219,492.9893798828125,410.37481689453125,558.4424438476562,433.1405944824219,485.5668029785156,433.2603759765625,557.7240600585938,452.109130859375,513.9757080078125,457.7436828613281,541.2396240234375,460.4866943359375,505.6224670410156,511.10076904296875,540.9779052734375,509.49310302734375,505.29730224609375,566.2077026367188,542.2822265625,559.7979125976562,834.0264586281558,524.960592612779,4.75522785796996,6.270754667700325,841.965087890625,374.2707214355469,813.3861083984375,371.1398620605469,830.2879638671875,404.6906433105469,811.3464965820312,395.0208435058594,801.8191528320312,415.435302734375,802.2901000976562,407.47906494140625,857.294921875,421.6529541015625,833.2158203125,420.3809814453125,865.1217651367188,461.5680236816406,816.2789306640625,459.28045654296875,881.861328125,502.7557373046875,818.28369140625,499.3883056640625,779.0,408.0,False,False,-1,,,,,True,0,,,,
6,0.1,520.8011856817471,584.2758877734918,2.12372529338818,7.457349285549796,511.20208740234375,385.5217590332031,550.5582275390625,394.2398986816406,492.9892578125,410.4535217285156,557.9371337890625,432.9841613769531,484.7677001953125,433.9192810058594,557.4385375976562,452.0189514160156,513.7075805664062,457.7475891113281,541.0103759765625,460.4449768066406,505.49530029296875,511.21697998046875,541.1276245117188,509.59661865234375,505.23382568359375,566.2862548828125,542.0806274414062,559.7513427734375,832.1201106702098,524.9958035125312,4.738370232691377,6.2714349702319705,840.4594116210938,374.70941162109375,811.9181518554688,374.5374755859375,831.91015625,401.7426452636719,810.7359008789062,399.5350036621094,803.5906372070312,412.3934326171875,796.7117309570312,412.1084899902344,856.8618774414062,421.5655212402344,832.6956176757812,421.0267333984375,863.2744750976562,461.32196044921875,812.6695556640625,459.28167724609375,881.48974609375,503.13995361328125,812.9562377929688,499.18115234375,779.0,408.0,False,False,-1,,,,,True,0,,,,
7,0.11666666666666667,519.8495086883468,584.1796315724872,2.116153213919811,7.455535456233921,511.3641052246094,385.316162109375,550.625,394.3328857421875,493.2790832519531,410.24908447265625,557.6793823242188,433.3426208496094,483.52886962890625,435.4839782714844,556.79931640625,452.30255126953125,513.6470336914062,457.65673828125,540.8991088867188,460.3695983886719,505.31427001953125,511.37933349609375,540.9775390625,509.4937744140625,505.3434753417969,566.6202392578125,542.1004028320312,559.2889404296875,830.3369870421795,525.0379284072278,4.722573364630912,6.272281082193407,837.5833740234375,374.53387451171875,810.0142211914062,375.2244873046875,827.7733764648438,403.11932373046875,809.4685668945312,400.833251953125,798.8082275390625,412.49053955078125,798.4073486328125,412.2606201171875,852.7372436523438,421.99444580078125,828.9055786132812,422.5322265625,861.8026123046875,462.6224060058594,808.8648071289062,459.5724792480469,880.47314453125,504.66680908203125,806.2413940429688,499.70281982421875,774.0,409.0,False,False,-1,,,,,True,0,,,,
8,0.13333333333333333,518.9271972874863,584.1093726194741,2.1088541450745413,7.454195070545198,510.4009704589844,385.0186462402344,550.4863891601562,393.76617431640625,492.13153076171875,410.88385009765625,557.0599975585938,432.009521484375,483.93109130859375,435.0726623535156,555.635986328125,451.55401611328125,513.2586669921875,457.87841796875,541.2335815429688,460.908447265625,505.0675048828125,510.22216796875,542.076904296875,508.89892578125,503.77777099609375,565.7335815429688,542.45068359375,558.86572265625,828.6079621874273,525.0998011702336,4.70719067867836,6.27358003330405,834.2939453125,375.3826904296875,807.9074096679688,376.6309814453125,824.0849609375,402.2972717285156,806.4180908203125,402.2933044433594,798.1464233398438,408.52374267578125,791.2266235351562,413.2885437011719,852.1543579101562,423.58636474609375,828.7528076171875,424.3900146484375,861.2099609375,462.260498046875,807.2181396484375,460.20501708984375,880.5693359375,503.4466552734375,800.9949951171875,501.32611083984375,769.0,410.0,False,False,-1,,,,,True,0,,,,
9,0.15,518.0638874940357,584.131421713294,2.102171805902387,7.454534131852139,510.40557861328125,385.05889892578125,550.3402099609375,393.57952880859375,492.1080017089844,411.03485107421875,556.6721801757812,431.4820861816406,483.2120361328125,435.833251953125,555.3021850585938,451.63580322265625,513.018310546875,458.1075134277344,540.8531494140625,461.03009033203125,504.84906005859375,510.377685546875,541.6917114257812,509.01324462890625,504.0675354003906,565.711181640625,542.0925903320312,558.9282836914062,826.9072163786393,525.2192062490786,4.691871235054638,6.276189899394073,832.4403076171875,375.2552490234375,805.8192749023438,378.39703369140625,825.0123291015625,399.80224609375,805.0811157226562,405.0475769042969,797.205810546875,408.75262451171875,786.64990234375,415.5804748535156,850.844970703125,424.0798645019531,826.9332275390625,424.5584411621094,861.0555419921875,462.0133361816406,804.529541015625,461.5433044433594,880.0444946289062,503.6844482421875,795.9826049804688,501.0616455078125,765.0,406.0,False,False,-1,,,,,True,0,,,,
