frame,x,y,prominence
54,503.0,151.0,296.0
125,381.0,213.0,283.0
222,425.0,53.0,533.0
279,429.0,205.0,143.0
363,675.0,164.0,379.0
463,937.0,248.0,338.0
527,729.0,252.0,257.0
596,467.0,222.0,361.0
688,417.0,111.0,505.0
745,613.0,228.0,182.0
854,795.0,361.0,227.0
